City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,oriximina,-1.7656,-55.8661,32.54,43,63,1.49,BR,1690918259
316,haimen,23.1935,116.6142,24.94,83,61,1.29,CN,1690918260
317,eunice,30.4944,-92.4176,37.11,32,100,1.95,US,1690918260
318,rio preto da eva,-2.6994,-59.6997,34.81,35,95,0.98,BR,1690918260
319,grand falls-windsor,48.9332,-55.6649,23.06,61,46,5.12,CA,1690918260
320,polyarnyy,69.1989,33.4478,13.66,98,86,0.98,RU,1690918260
321,chiang mai,18.75,99.0,26.52,90,75,1.54,TH,1690918260
322,bechem,7.0903,-2.025,22.24,98,100,0.54,GH,1690918261
323,pampa,35.5362,-100.9599,38.53,23,100,7.31,US,1690918261
324,hithadhoo,-0.6,73.0833,27.58,73,82,1.56,MV,1690918261
325,lom sak,16.7798,101.2422,24.27,94,100,1.4,TH,1690918261
326,usinsk,65.9939,57.5281,15.99,77,0,3.95,RU,1690918261
327,darwin,-12.4611,130.8418,20.99,88,100,1.54,AU,1690918262
328,abepura,-2.6333,140.5833,25.45,83,20,0.0,ID,1690918262
329,khalkhal,37.6189,48.5258,20.51,65,0,0.73,IR,1690918262
330,sungai penuh,-2.0833,101.3833,17.43,96,96,0.39,ID,1690918262
331,palmer,42.1584,-72.3287,25.08,43,75,5.66,US,1690918263
332,messaad,34.1543,3.5031,32.25,14,0,4.21,DZ,1690918263
333,pyapon,16.2833,95.6833,26.41,89,100,5.06,MM,1690918263
334,katsuura,35.1333,140.3,25.51,92,40,4.17,JP,1690918264
335,magadan,59.5667,150.8,11.61,79,49,3.98,RU,1690918078
336,san andres,12.5847,-81.7006,28.01,89,75,4.12,CO,1690918264
337,doaba,33.4244,70.7364,31.2,48,0,1.34,PK,1690918264
338,ras el aioun,35.6738,5.6453,28.97,35,0,4.37,DZ,1690918264
339,villa ojo de agua,-29.5,-63.6938,32.01,22,0,8.38,AR,1690918264
340,kerikeri,-35.2268,173.9474,12.17,90,18,0.89,NZ,1690918265
341,sinan,34.8262,126.1086,26.06,82,61,2.68,KR,1690918265
342,lata,40.1629,-8.3327,21.01,94,22,2.34,PT,1690918265
343,ust'-ilimsk,58.0006,102.6619,15.79,92,5,0.57,RU,1690918265
344,les avirons,-21.2418,55.3394,20.03,83,0,2.06,RE,1690918265
345,tete,-16.1564,33.5867,24.05,60,40,9.77,MZ,1690918266
346,fort mcmurray,56.7268,-111.381,18.77,88,75,4.63,CA,1690918266
347,charcas,23.1333,-101.1167,25.74,35,39,4.32,MX,1690918006
